open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1672531200000,246.110,246.590,245.270,245.580,54827.79,1672534799999,13477938.98410,14740,23725.92,5833413.99500,0
1672534800000,245.570,245.880,245.340,245.820,25894.31,1672538399999,6360401.50390,8277,13263.26,3257831.42750,0
1672538400000,245.810,245.810,245.110,245.310,24809.81,1672541999999,6089236.03100,9011,11193.81,2747454.68810,0
1672542000000,245.300,245.470,245.020,245.150,29035.71,1672545599999,7119694.88830,9161,15423.46,3782049.17480,0
1672545600000,245.150,245.220,243.500,243.670,75142.03,1672549199999,18355972.29210,20805,32640.31,7972213.23570,0
1672549200000,243.670,244.310,243.300,244.020,60872.53,1672552799999,14842279.30260,16106,32093.08,7825751.12360,0
1672552800000,244.020,244.330,243.810,243.840,30249.09,1672556399999,7382965.57610,10709,13818.73,3372896.49730,0
1672556400000,243.840,244.160,243.600,243.910,34331.98,1672559999999,8372490.68790,10127,16931.63,4129075.23230,0
1672560000000,243.910,243.990,243.250,243.440,30700.21,1672563599999,7481060.81650,10216,13834.18,3371257.51380,0
1672563600000,243.430,244.380,243.320,244.350,33655.80,1672567199999,8207478.94570,10360,19998.33,4877217.86540,0
1672567200000,244.360,244.380,243.880,244.280,20722.62,1672570799999,5058878.33610,7511,10646.09,2598931.86280,0
1672570800000,244.280,244.540,244.080,244.300,23245.08,1672574399999,5677457.87920,8005,12020.86,2936182.24910,0
1672574400000,244.300,244.560,244.000,244.190,23231.77,1672577999999,5675523.19460,8595,10104.26,2468790.70970,0
1672578000000,244.200,244.450,243.840,244.130,31168.34,1672581599999,7608954.36030,10002,15569.57,3800679.63070,0
1672581600000,244.130,244.340,243.890,243.930,19256.51,1672585199999,4700847.72670,7153,9270.57,2263132.41630,0
1672585200000,243.920,244.670,243.920,244.480,23821.25,1672588799999,5817604.37150,7396,13710.54,3348080.21260,0
1672588800000,244.490,244.980,244.260,244.800,33403.95,1672592399999,8172993.30870,10592,18182.83,4449064.72640,0
1672592400000,244.800,245.490,244.740,245.340,43064.66,1672595999999,10555688.50010,12729,25823.87,6329845.79020,0
1672596000000,245.340,245.650,244.680,244.730,34813.88,1672599599999,8537395.21830,11800,15412.59,3780213.58680,0
1672599600000,244.730,245.630,244.720,245.130,27652.91,1672603199999,6783364.10790,8386,12375.60,3035345.88700,0
1672603200000,245.130,245.810,245.120,245.150,27769.05,1672606799999,6817830.47060,7957,13264.61,3257138.90760,0
1672606800000,245.150,245.300,244.840,245.020,12985.97,1672610399999,3182816.26480,5193,5931.34,1453791.91490,0
1672610400000,245.020,245.100,244.570,244.600,16273.40,1672613999999,3984012.14930,6204,8283.34,2028059.05890,0
1672614000000,244.600,244.790,243.540,244.360,56224.73,1672617599999,13722698.36290,15391,25866.92,6313889.31270,0
1672617600000,244.350,244.480,243.410,243.440,40752.65,1672621199999,9935951.90580,11657,19001.65,4633341.76120,0
1672621200000,243.450,243.610,240.400,242.030,229352.72,1672624799999,55492281.00295,52286,97422.68,23568040.44830,0
1672624800000,242.030,242.690,241.520,242.340,47666.66,1672628399999,11545883.38760,13715,24500.30,5934464.00640,0
1672628400000,242.340,244.000,242.270,243.670,53129.67,1672631999999,12920307.16310,15791,29165.61,7094080.09080,0
1672632000000,243.670,243.790,242.820,243.330,39662.12,1672635599999,9649537.52060,12369,19029.63,4629972.83990,0
1672635600000,243.340,244.300,243.330,243.840,33774.80,1672639199999,8233507.47290,10719,19106.52,4658203.43400,0
1672639200000,243.840,244.290,243.440,243.870,40929.49,1672642799999,9980454.92110,11074,19325.49,4713068.54790,0
1672642800000,243.870,247.000,243.680,246.260,232963.95,1672646399999,57289445.73692,59091,129211.69,31772745.59582,0
1672646400000,246.260,247.300,246.250,246.880,109340.22,1672649999999,26999980.63640,29529,56138.15,13863314.06660,0
1672650000000,246.890,247.880,246.280,246.620,105571.74,1672653599999,26102400.60030,24846,52449.58,12970426.71300,0
1672653600000,246.610,247.420,246.280,246.820,47464.67,1672657199999,11718696.99940,14452,23147.17,5714997.84250,0
1672657200000,246.820,246.890,246.060,246.720,44915.11,1672660799999,11071308.22590,12765,19602.44,4832172.08530,0
1672660800000,246.730,247.470,246.730,246.980,48598.32,1672664399999,12008430.25360,13497,26567.34,6564705.96440,0
1672664400000,246.990,247.300,246.010,246.470,51955.46,1672667999999,12808397.92410,13730,23274.80,5738114.88320,0
1672668000000,246.470,246.660,245.840,246.340,40949.01,1672671599999,10082537.64120,12120,18569.25,4572673.96180,0
1672671600000,246.330,247.180,245.910,246.850,53953.99,1672675199999,13306799.71880,15076,31374.47,7738333.98750,0
1672675200000,246.840,247.050,246.040,246.060,37988.35,1672678799999,9368938.60180,11624,16893.13,4167139.43740,0
1672678800000,246.050,246.560,246.050,246.430,18832.95,1672682399999,4637672.56930,7359,9929.21,2445172.64140,0
1672682400000,246.430,246.630,246.150,246.460,22265.76,1672685999999,5487565.03790,7257,11081.38,2731219.57770,0
1672686000000,246.460,246.630,246.080,246.500,18943.33,1672689599999,4666886.57110,6622,9984.22,2459672.39940,0
1672689600000,246.510,247.230,246.100,247.140,29866.59,1672693199999,7371500.86870,9791,16658.17,4111441.11880,0
1672693200000,247.130,247.730,246.810,247.130,31467.87,1672696799999,7778936.70700,9834,17814.97,4404761.26040,0
1672696800000,247.120,247.340,245.890,245.940,29848.85,1672700399999,7360234.87420,12089,12082.13,2979621.78080,0
1672700400000,245.940,246.460,244.950,245.070,65940.78,1672703999999,16196673.76490,20494,28459.29,6991768.27460,0
1672704000000,245.060,245.970,244.720,245.700,43187.54,1672707599999,10597979.16310,14679,20079.69,4927623.89590,0
1672707600000,245.690,245.690,244.630,245.210,40626.34,1672711199999,9955002.29170,14425,21233.00,5202864.65750,0
1672711200000,245.200,245.590,245.080,245.290,21337.08,1672714799999,5235975.55950,7584,8602.90,2110864.29000,0
1672714800000,245.280,245.830,245.100,245.710,23429.31,1672718399999,5752075.57710,8010,12280.53,3015035.09800,0
1672718400000,245.720,245.810,245.130,245.170,20138.78,1672721999999,4943647.79990,7265,9516.68,2335859.17660,0
1672722000000,245.170,246.430,245.100,246.280,40480.63,1672725599999,9950571.12180,11507,22995.24,5652764.25810,0
1672725600000,246.280,246.900,245.910,246.150,54250.26,1672729199999,13369615.71220,15819,28042.12,6910684.09730,0
1672729200000,246.140,246.310,245.730,246.140,25652.88,1672732799999,6311936.13490,9294,13104.74,3224486.12160,0
1672732800000,246.140,246.330,245.300,245.760,33455.32,1672736399999,8221510.31730,11214,15226.36,3741909.75030,0
1672736400000,245.770,246.490,245.660,246.290,33401.22,1672739999999,8220144.97720,10132,18863.84,4642608.65720,0
1672740000000,246.280,246.440,245.300,245.640,43853.77,1672743599999,10779254.99580,11705,21612.76,5312527.35400,0
1672743600000,245.640,246.290,245.200,245.480,43368.16,1672747199999,10657048.65910,11294,21679.70,5327249.87870,0
1672747200000,245.470,245.710,244.890,245.260,40761.53,1672750799999,9998109.02930,11479,18844.28,4622268.38700,0
1672750800000,245.250,245.600,244.840,245.280,42370.43,1672754399999,10390188.84270,12353,20176.30,4948638.88000,0
1672754400000,245.290,246.260,244.020,244.720,107923.95,1672757999999,26483845.40410,28611,48484.31,11901792.51080,0
1672758000000,244.720,245.540,244.420,245.280,78671.95,1672761599999,19272086.22400,21929,40061.29,9813706.09830,0
1672761600000,245.270,245.840,244.300,244.580,54832.18,1672765199999,13436261.97250,16699,27085.95,6638061.39580,0
1672765200000,244.570,245.200,244.530,245.200,25521.65,1672768799999,6250296.71060,10402,13543.00,3316756.54360,0
1672768800000,245.200,245.300,244.540,245.060,31718.27,1672772399999,7769828.73020,11145,14561.74,3567645.71550,0
1672772400000,245.060,245.480,244.710,245.190,23162.13,1672775999999,5678440.60680,8475,11491.17,2817187.26420,0
